Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
Kepler-1894,,5772.00,0.90,1.00,-0.270,4.53,0.500
Kepler-1895,,5076.00,0.76,0.86,-0.230,4.60,1.200
Kepler-1896,,6122.00,1.00,1.07,0.174,4.47,
Kepler-1897,,5165.00,0.76,0.86,-0.390,4.60,4.200
Kepler-1898,,5702.00,1.12,0.84,-0.235,4.26,
Kepler-1899,,4791.00,0.74,0.76,-0.672,4.58,13.900
Kepler-1900,,6173.00,1.04,1.10,0.220,4.45,0.400
Kepler-1901,,5696.00,0.92,1.02,-0.003,4.52,0.700
Kepler-1902,,3729.00,0.51,0.52,-1.117,4.73,
Kepler-1903,,6347.00,1.00,1.05,0.292,4.46,0.230
Kepler-1904,,3805.00,0.50,0.53,-1.298,4.77,1.200
Kepler-1905,,5788.00,1.02,1.04,-0.025,4.44,0.300
Kepler-1906,,5868.00,0.89,0.99,0.242,4.53,0.500
Kepler-1909,,4935.00,0.69,0.66,-0.576,4.59,13.900
Kepler-1910,,4234.00,0.64,0.64,-0.927,4.63,13.900
Kepler-1911,,5721.00,0.97,0.95,-0.078,4.44,
Kepler-1912,,5734.00,0.96,0.98,-0.049,4.46,
Kepler-1913,,6214.00,1.08,1.17,-0.055,4.44,
Kepler-1914,,5982.00,0.96,1.05,0.077,4.49,
Kepler-1915,,6020.00,1.06,1.03,0.061,4.40,
Kepler-1916,,6246.00,1.09,1.18,0.214,4.43,
Kepler-1917,,5530.00,0.79,0.88,-0.296,4.59,
Kepler-1918,,5889.00,0.92,0.97,-0.308,4.49,
Kepler-1919,,5513.00,0.82,0.87,-0.274,4.55,
Kepler-1920,,6277.00,1.16,1.24,0.100,4.40,
Kepler-1921,,6120.00,2.00,1.25,0.806,3.93,
Kepler-1922,,5931.00,0.86,0.95,0.152,4.54,
Kepler-1923,,5881.00,1.29,1.11,0.257,4.26,
Kepler-1924,,5726.00,1.29,1.02,0.452,4.23,
Kepler-1925,,5856.00,1.09,1.06,0.365,4.39,
Kepler-1926,,5256.00,0.83,0.77,-0.647,4.48,
Kepler-1927,,6056.00,2.48,1.41,0.774,3.80,
Kepler-1928,,5720.00,0.92,1.01,-0.092,4.53,0.105
Kepler-1929,,5786.00,1.47,1.01,0.593,4.11,
Kepler-1930,,5083.00,0.84,0.84,-0.505,4.51,
Kepler-1931,,6167.00,1.22,1.17,0.474,4.33,
Kepler-1932,,5278.00,0.82,0.91,-0.352,4.58,
Kepler-1933,,5661.00,1.01,0.96,-0.116,4.42,
Kepler-1934,,5925.00,1.04,0.97,0.108,4.39,
Kepler-1935,,5570.00,0.90,0.85,0.164,4.46,
Kepler-1936,,6501.00,1.85,1.42,0.456,4.05,
Kepler-1937,,6457.00,1.20,1.19,0.209,4.36,
Kepler-1938,,4522.00,0.66,0.65,-0.650,4.62,
Kepler-1939,,4353.00,0.60,0.65,-0.808,4.68,
Kepler-1940,,5431.00,0.72,0.80,-0.377,4.62,
Kepler-1941,,6404.00,1.14,1.18,0.436,4.39,
Kepler-1942,,5834.00,0.80,0.85,-0.075,4.57,
Kepler-1943,,6032.00,0.97,1.06,0.445,4.49,
Kepler-1944,,5585.00,0.97,1.06,-0.083,4.49,
Kepler-1945,,4991.00,0.80,0.77,-0.441,4.51,
Kepler-1946,,5505.00,0.87,0.89,-0.279,4.50,
Kepler-1947,,6040.00,1.69,0.98,0.111,3.98,
Kepler-1948,,3872.00,0.56,0.59,-0.862,4.71,
Kepler-1949,,6028.00,1.45,1.19,0.713,4.19,
Kepler-1950,,5455.00,0.85,0.76,-0.223,4.46,
Kepler-1951,,5468.00,1.31,0.92,0.501,4.17,
Kepler-1952,,5973.00,1.31,0.92,0.291,4.17,
Kepler-1953,,4858.00,0.71,0.79,-0.630,4.62,
Kepler-1954,,5840.00,0.85,0.94,0.045,4.55,
Kepler-1955,,5825.00,1.29,1.05,0.230,4.24,
Kepler-1956,,4391.00,0.68,0.67,-1.045,4.60,
Kepler-1957,,4904.00,0.77,0.74,-0.601,4.54,
Kepler-1958,,5749.00,0.86,0.96,-0.001,4.55,
Kepler-1959,,5071.00,0.81,0.77,-0.474,4.50,
Kepler-1960,,6371.00,1.07,1.12,0.271,4.43,
Kepler-1961,,5401.00,0.78,0.87,-0.276,4.59,
Kepler-1962,,5700.00,1.01,1.00,-0.122,4.43,
Kepler-1963,,5726.00,0.98,0.92,-0.259,4.42,
Kepler-1964,,4803.00,0.70,0.75,-0.631,4.62,
Kepler-1965,,5852.00,0.84,0.93,-0.076,4.56,
Kepler-1966,,5009.00,0.84,0.80,-0.567,4.49,
Kepler-1967,,4970.00,1.81,1.00,-0.567,3.92,
Kepler-1968,,5008.00,0.79,0.84,-0.650,4.57,
Kepler-1969,,6046.00,1.01,1.11,-0.181,4.48,
Kepler-21,F6 IV,6305.00,1.90,1.41,0.715,4.03,3.030
Kepler-22,G5 V,5518.00,0.98,0.97,-0.102,4.44,7.080
Kepler-34,,5913.00,1.16,1.05,0.173,4.33,
Kepler-35,,5606.00,1.03,0.89,-0.027,4.36,
Kepler-38,G4 V,5623.00,1.75,0.94,0.492,3.93,10.000
Kepler-39,F7 V,6350.00,1.40,1.29,0.346,4.40,2.100
Kepler-4,,5857.00,1.49,1.22,0.354,4.17,4.500
Kepler-40,F5 IV,6510.00,2.13,1.48,0.819,3.94,2.800
Kepler-408,,6104.00,1.23,1.08,0.283,4.29,6.680
Kepler-409,,5460.00,0.89,0.92,-0.202,4.50,6.800
Kepler-41,G2 V,5750.00,1.29,1.15,0.262,4.28,4.400
Kepler-410 A,,6273.00,1.35,1.21,0.435,4.26,2.760
Kepler-412,G3 V,5750.00,1.29,1.17,0.269,4.30,5.370
Kepler-413,,4700.00,0.78,0.82,-0.430,4.57,
Kepler-421,G9/K0,5308.00,0.76,0.79,-0.398,4.61,4.000
Kepler-422,,5972.00,1.24,1.15,0.240,4.31,3.400
Kepler-423,G4 V,5560.00,0.95,0.85,-0.018,4.41,11.000
Kepler-425,K1 V,5170.00,0.86,0.93,-0.323,4.54,5.000
Kepler-426,G1 V,5725.00,0.92,0.91,-0.089,4.47,6.000
Kepler-427,G2 V,5800.00,1.35,0.96,0.290,4.14,7.000
Kepler-428,K1 V,5150.00,0.80,0.87,-0.390,4.57,5.000
Kepler-43,F8 V,6041.00,1.42,1.32,0.326,4.26,0.690
Kepler-433,,6360.00,2.26,1.46,0.880,3.89,2.670
Kepler-434,,5977.00,1.38,1.20,0.330,4.24,4.000
Kepler-435,,6161.00,3.21,1.54,1.129,3.61,2.250
Kepler-437,,4551.00,0.68,0.71,-0.762,4.63,2.900
Kepler-438,,3748.00,0.52,0.54,-1.357,4.74,4.400
Kepler-439,,5431.00,0.87,0.88,-0.236,4.51,7.200
Kepler-44,G2 IV,5800.00,1.35,1.12,0.347,4.22,5.800
Kepler-440,,4134.00,0.56,0.57,-1.102,4.71,1.300
Kepler-441,,4340.00,0.55,0.57,-1.051,4.71,1.900
Kepler-442,,4402.00,0.60,0.61,-0.932,4.67,2.900
Kepler-443,,4723.00,0.71,0.74,-0.664,4.61,3.200
Kepler-447,G8 V,5493.00,1.05,1.00,-0.190,4.40,2.690
Kepler-45,M,3820.00,0.55,0.59,-1.276,4.70,0.500
Kepler-452,G2,5757.00,1.11,1.04,0.084,4.32,6.000
Kepler-453,,5527.00,0.83,0.94,-0.221,4.57,2.490
Kepler-461,,5634.00,0.91,0.98,0.246,4.51,2.510
Kepler-463,,5661.00,0.90,0.87,0.079,4.47,7.410
Kepler-464,,5933.00,1.59,1.21,0.484,4.11,4.900
Kepler-465,,6310.00,1.29,1.23,0.338,4.31,2.190
Kepler-467,,5809.00,1.37,1.05,0.323,4.18,8.130
Kepler-468,,5498.00,0.87,0.96,-0.286,4.54,2.000
Kepler-470,,6613.00,1.66,1.40,0.602,4.14,1.860
Kepler-471,,6733.00,1.80,1.49,0.710,4.10,1.580
Kepler-472,,4996.00,0.78,0.85,-0.513,4.59,2.690
Kepler-473,,5816.00,1.34,1.06,0.525,4.21,6.920
Kepler-474,,5785.00,1.08,0.99,0.417,4.36,6.760
Kepler-475,,5009.00,0.79,0.86,-0.464,4.58,2.690
Kepler-476,,5837.00,1.09,1.03,0.095,4.38,5.370
Kepler-477,,5240.00,0.79,0.87,-0.372,4.58,2.090
Kepler-478,,5210.00,0.80,0.85,-0.371,4.56,4.900
Kepler-479,,5247.00,0.81,0.86,-0.409,4.56,4.270
Kepler-480,,6322.00,1.34,1.25,0.478,4.28,2.340
Kepler-481,,5802.00,1.09,1.01,0.207,4.36,6.170
Kepler-482,,4871.00,0.72,0.75,-0.539,4.60,6.030
Kepler-483,,6346.00,1.47,1.28,0.439,4.21,2.630
Kepler-484,,5668.00,0.87,0.96,-0.135,4.54,1.480
Kepler-485,,5958.00,1.09,1.07,0.079,4.39,3.720
Kepler-486,,4926.00,0.75,0.79,-0.514,4.60,4.470
Kepler-488,,5970.00,1.09,1.07,0.145,4.39,3.470
Kepler-489,,5014.00,0.76,0.82,-0.518,4.59,3.310
Kepler-490,,6045.00,1.12,1.08,0.365,4.37,3.470
Kepler-491,,5582.00,1.03,1.04,-0.057,4.42,4.470
Kepler-492,,5527.00,0.91,0.94,-0.299,4.50,4.570
Kepler-493,,6457.00,1.54,1.36,0.438,4.19,2.000
Kepler-494,,6007.00,1.26,1.10,0.271,4.28,4.790
Kepler-496,,5293.00,0.82,0.86,-0.416,4.55,4.570
Kepler-497,,5834.00,1.11,1.09,0.252,4.39,3.550
Kepler-498,,5744.00,0.96,0.98,0.172,4.47,3.890
Kepler-499,,5312.00,0.83,0.87,-0.279,4.55,4.570
Kepler-5,,6297.00,1.79,1.37,0.652,3.96,2.880
Kepler-500,,5813.00,1.03,1.02,0.116,4.42,4.370
Kepler-502,,6125.00,1.22,1.15,0.349,4.33,3.090
Kepler-504,,3519.00,0.33,0.33,-1.577,4.94,4.170
Kepler-505,,3931.00,0.53,0.55,-1.079,4.73,3.160
Kepler-506,,6236.00,1.19,1.19,0.288,4.36,1.740
Kepler-507,,6113.00,1.32,1.16,0.326,4.26,3.800
Kepler-508,,6025.00,1.25,1.16,0.289,4.30,3.550
Kepler-509,,6060.00,1.20,1.10,0.233,4.32,4.270
Kepler-510,,5746.00,1.41,0.91,0.332,4.09,10.470
Kepler-512,,5997.00,1.30,1.17,0.216,4.28,3.720
Kepler-513,,5849.00,1.06,1.02,0.079,4.39,5.500
Kepler-514,,6106.00,1.44,1.28,0.353,4.23,2.690
Kepler-515,,5293.00,0.83,0.90,-0.312,4.55,3.390
Kepler-516,,7099.00,2.02,1.62,0.798,4.04,1.320
Kepler-517,,5690.00,0.98,0.95,-0.019,4.43,6.310
Kepler-518,,5842.00,0.88,0.96,-0.040,4.53,1.350
Kepler-519,,5260.00,0.80,0.89,-0.335,4.58,1.910
Kepler-521,,6406.00,1.46,1.34,0.671,4.24,1.780
Kepler-522,,6392.00,1.98,1.54,0.655,4.04,1.700
Kepler-523,,5515.00,0.86,0.93,-0.280,4.54,2.450
Kepler-525,,5573.00,1.15,0.95,0.525,4.29,10.470
Kepler-526,,5894.00,1.14,1.15,0.351,4.38,2.140
Kepler-527,,6388.00,1.45,1.28,0.323,4.22,2.400
Kepler-528,,5807.00,1.06,1.01,0.158,4.39,5.500
Kepler-530,,5697.00,0.89,0.97,-0.132,4.53,1.780
Kepler-531,,4893.00,0.75,0.78,-0.552,4.58,7.760
Kepler-532,,5192.00,0.79,0.87,-0.458,4.58,2.000
Kepler-533,,4758.00,0.72,0.78,-0.620,4.61,3.240
Kepler-535,,6123.00,1.27,1.18,0.341,4.30,3.240
Kepler-536,,5524.00,0.89,0.92,-0.214,4.51,4.790
Kepler-537,,5763.00,0.99,1.07,-0.039,4.47,1.450
Kepler-538,,5547.00,0.87,0.89,-0.179,4.51,5.300
Kepler-540,,5946.00,1.08,1.02,0.207,4.38,4.900
Kepler-541,,6166.00,2.06,1.41,0.755,3.96,3.090
Kepler-542,,5526.00,0.90,0.93,-0.122,4.50,4.570
Kepler-543,,4671.00,0.67,0.70,-0.643,4.63,5.750
Kepler-544,,6206.00,1.22,1.16,0.529,4.33,2.630
Kepler-545,,5882.00,1.07,1.04,0.107,4.39,4.470
Kepler-546,,5967.00,1.15,1.11,0.271,4.36,3.310
Kepler-547,,4828.00,0.73,0.78,-0.555,4.61,2.880
Kepler-548,,5535.00,0.90,0.93,-0.201,4.50,4.370
Kepler-550,,5322.00,0.83,0.87,-0.384,4.55,4.680
Kepler-551,,4286.00,0.63,0.65,-0.895,4.66,3.800
Kepler-552,,5863.00,1.04,1.03,0.063,4.42,3.890
Kepler-554,,5447.00,0.92,0.93,-0.118,4.49,5.620
Kepler-555,,5894.00,1.04,1.03,0.264,4.42,3.890
Kepler-556,,5740.00,0.98,1.00,-0.048,4.46,4.170
Kepler-557,,6068.00,1.16,1.11,0.728,4.35,3.240
Kepler-558,,5242.00,0.81,0.85,-0.384,4.56,4.470
Kepler-559,,5630.00,0.95,0.96,-0.121,4.47,4.370
Kepler-560,,3556.00,0.33,0.34,-1.717,4.94,4.070
Kepler-562,,5575.00,0.90,0.93,0.016,4.50,4.570
Kepler-563,,5066.00,0.77,0.80,-0.444,4.58,5.370
Kepler-564,,5626.00,0.92,0.95,-0.064,4.49,4.270
Kepler-565,,5735.00,0.95,0.98,-0.055,4.47,4.070
Kepler-566,,5132.00,0.79,0.83,-0.524,4.57,4.570
Kepler-567,,5148.00,0.79,0.84,-0.409,4.57,4.680
Kepler-568,,3768.00,0.53,0.55,-1.330,4.73,5.890
Kepler-569,,5616.00,0.93,0.95,-0.107,4.48,4.900
Kepler-570,,5496.00,0.90,0.93,-0.296,4.50,5.010
Kepler-571,,5527.00,0.90,0.93,-0.223,4.51,4.680
Kepler-572,,5212.00,0.79,0.83,-0.434,4.57,4.680
Kepler-573,,5746.00,1.02,0.99,0.029,4.41,5.890
Kepler-574,,5612.00,0.91,0.95,-0.214,4.50,4.170
Kepler-575,,5710.00,0.95,0.97,-0.084,4.47,3.980
Kepler-576,,5672.00,0.97,0.99,-0.211,4.46,4.470
Kepler-577,,4984.00,0.73,0.78,-0.555,4.61,3.800
Kepler-578,,5334.00,0.83,0.87,-0.337,4.54,4.680
Kepler-579,,5636.00,0.96,0.99,-0.311,4.47,4.070
Kepler-580,,4298.00,0.64,0.67,-0.896,4.66,3.470
Kepler-581,,5772.00,1.00,1.00,-0.169,4.44,4.070
Kepler-582,,5564.00,0.91,0.93,-0.414,4.49,4.470
Kepler-583,,5523.00,0.91,0.94,-0.101,4.50,4.470
Kepler-584,,6195.00,1.24,1.17,0.520,4.31,2.880
Kepler-585,,5593.00,0.93,0.96,-0.163,4.49,3.630
Kepler-586,,5575.00,0.92,0.94,-0.141,4.50,4.170
Kepler-587,,5549.00,0.89,0.92,-0.238,4.51,4.790
Kepler-588,,5835.00,1.00,1.01,0.207,4.44,4.070
Kepler-590,,6000.00,1.15,1.10,0.477,4.35,3.550
Kepler-591,,5677.00,0.94,0.97,-0.078,4.48,4.170
Kepler-592,,5913.00,1.04,1.04,0.185,4.42,3.890
Kepler-593,,5967.00,1.10,1.08,0.079,4.39,3.630
Kepler-594,,5485.00,0.87,0.91,-0.193,4.52,4.270
Kepler-596,,6267.00,1.32,1.21,0.314,4.27,2.690
Kepler-597,,5683.00,0.95,0.97,-0.033,4.47,4.270
Kepler-599,,5127.00,0.79,0.83,-0.522,4.57,5.010
Kepler-6,,5647.00,1.39,1.21,0.189,4.24,1.300
Kepler-600,,5279.00,0.81,0.84,-0.339,4.56,4.570
Kepler-601,,5160.00,0.79,0.85,-0.428,4.57,4.070
Kepler-602,,6062.00,1.13,1.08,0.326,4.37,3.160
Kepler-604,,5890.00,1.03,1.02,0.092,4.42,3.720
Kepler-606,,6161.00,1.22,1.13,0.254,4.32,2.880
Kepler-608,,5820.00,1.01,1.00,0.041,4.43,3.800
Kepler-609,,5971.00,1.14,1.09,0.065,4.36,3.720
Kepler-61,K7 V,4017.00,0.62,0.64,-0.971,4.67,1.000
Kepler-611,,5761.00,1.01,1.01,0.383,4.43,4.470
Kepler-612,,5693.00,0.96,0.98,0.305,4.46,4.470
Kepler-613,,5723.00,0.96,0.98,-0.057,4.47,4.270
Kepler-614,,5268.00,0.81,0.85,-0.418,4.55,4.790
Kepler-615,,4655.00,0.69,0.73,-0.695,4.62,3.720
Kepler-617,M1 V,3712.00,0.48,0.51,-1.305,4.77,3.980
Kepler-618,,5860.00,1.08,1.05,0.173,4.39,4.270
Kepler-620,,6155.00,1.22,1.15,0.341,4.33,3.020
Kepler-621,,4521.00,0.68,0.72,-0.759,4.63,3.630
Kepler-622,,4201.00,0.61,0.64,-0.862,4.67,3.470
Kepler-623,,5443.00,0.86,0.90,-0.318,4.53,4.470
Kepler-624,,6117.00,1.18,1.10,0.291,4.33,3.720
Kepler-626,,5813.00,1.05,1.01,-0.042,4.40,5.370
Kepler-627,,6424.00,1.49,1.30,0.385,4.21,2.240
Kepler-628,,5721.00,1.28,1.00,0.604,4.22,8.710
Kepler-629,,5444.00,0.84,0.93,-0.283,4.55,1.910
Kepler-63,,5576.00,0.90,0.98,-0.157,4.52,0.210
Kepler-630,,5829.00,1.04,1.02,0.302,4.42,4.470
Kepler-631,,6185.00,1.33,1.24,0.389,4.28,2.510
Kepler-632,,5322.00,0.84,0.91,-0.292,4.55,3.020
Kepler-634,,6075.00,1.24,1.03,0.421,4.26,5.370
Kepler-635,,6174.00,1.51,1.33,0.735,4.20,2.340
Kepler-636,,5203.00,0.80,0.85,-0.374,4.56,5.010
Kepler-637,,6096.00,2.56,1.64,0.382,3.84,2.190
Kepler-638,,5382.00,0.93,0.88,0.532,4.43,11.750
Kepler-639,,5896.00,1.29,1.14,0.483,4.27,4.370
Kepler-640,,5653.00,0.94,1.01,-0.024,4.50,2.090
Kepler-641,,5713.00,1.13,1.02,0.390,4.33,7.080
Kepler-642,,6570.00,1.66,1.40,0.398,4.14,1.950
Kepler-643,,4908.00,2.52,1.00,0.478,3.64,12.020
Kepler-644,,6747.00,1.81,1.49,0.710,4.09,1.620
Kepler-645,,6170.00,1.21,1.13,0.451,4.33,2.950
Kepler-646,,5634.00,0.91,0.93,-0.259,4.49,4.570
Kepler-648,,5741.00,0.98,1.05,-0.053,4.48,1.820
Kepler-649,,5871.00,0.94,0.97,-0.044,4.48,2.950
Kepler-650,,5849.00,1.35,1.08,0.284,4.21,6.460
Kepler-651,,5522.00,0.87,0.92,-0.253,4.53,3.550
Kepler-652,,5490.00,0.88,0.97,-0.270,4.54,1.480
Kepler-654,,5865.00,1.11,1.04,0.462,4.36,5.370
Kepler-655,,6170.00,1.24,1.15,0.324,4.31,3.390
Kepler-656,,5281.00,0.82,0.86,-0.299,4.56,4.370
Kepler-657,,5808.00,1.01,1.01,0.279,4.44,4.170
Kepler-658,,4103.00,0.60,0.63,-0.899,4.68,3.090
Kepler-659,,4870.00,0.74,0.79,-0.526,4.60,3.240
Kepler-66,G0 V,5962.00,0.97,1.04,0.051,4.48,1.000
Kepler-660,,4779.00,0.71,0.75,-0.626,4.61,4.570
Kepler-661,,4483.00,0.67,0.70,-0.814,4.64,4.270
Kepler-662,,4897.00,0.74,0.79,-0.356,4.60,3.630
Kepler-663,,5264.00,0.82,0.86,-0.313,4.55,4.570
Kepler-664,,5754.00,1.02,1.01,-0.111,4.43,4.680
Kepler-665,,4913.00,0.74,0.79,-0.595,4.60,4.680
Kepler-666,,5887.00,1.05,1.03,0.182,4.41,3.800
Kepler-667,,5327.00,0.87,0.91,0.557,4.53,4.680
Kepler-668,,5352.00,0.82,0.87,-0.396,4.55,3.890
Kepler-669,,6038.00,1.20,1.15,0.358,4.34,3.160
Kepler-67,G9 V,5331.00,0.78,0.86,-0.376,4.59,1.000
Kepler-670,,5709.00,0.99,0.99,-0.100,4.44,4.790
Kepler-671,,5624.00,0.95,0.97,-0.081,4.47,4.470
Kepler-672,,5627.00,0.92,0.95,-0.112,4.50,4.070
Kepler-673,,5355.00,0.84,0.88,-0.344,4.54,4.470
Kepler-674,,4192.00,0.57,0.60,-0.907,4.69,3.310
Kepler-675,,4945.00,0.75,0.79,-0.507,4.60,4.680
Kepler-676,,3701.00,0.49,0.51,-1.295,4.77,4.270
Kepler-677,,5723.00,0.99,1.00,0.390,4.45,4.570
Kepler-678,,5520.00,0.91,0.94,0.449,4.50,4.470
Kepler-679,,5403.00,0.84,0.87,-0.348,4.54,4.470
Kepler-680,,5890.00,1.11,1.08,0.197,4.38,3.720
Kepler-681,,5021.00,0.76,0.80,-0.457,4.58,5.010
Kepler-682,,5559.00,0.89,0.92,0.480,4.51,3.980
Kepler-683,,5703.00,0.95,0.96,-0.041,4.47,4.370
Kepler-684,,5493.00,0.86,0.89,0.209,4.53,4.370
Kepler-685,,5963.00,1.16,1.11,-0.051,4.36,3.390
Kepler-686,,5649.00,0.92,0.94,0.108,4.49,4.470
Kepler-687,,4841.00,0.73,0.77,-0.567,4.60,5.500
Kepler-688,,5715.00,0.96,0.98,-0.024,4.47,4.270
Kepler-689,,5518.00,0.88,0.91,-0.153,4.51,4.570
Kepler-690,,5913.00,1.16,1.11,0.141,4.35,3.550
Kepler-691,,3715.00,0.50,0.53,-1.305,4.76,3.980
Kepler-692,,5440.00,0.86,0.90,-0.233,4.53,4.680
Kepler-693,,4881.00,0.72,0.76,-0.427,4.61,4.470
Kepler-694,,5700.00,0.95,0.97,-0.078,4.47,4.070
Kepler-695,,5181.00,0.80,0.84,-0.159,4.57,4.470
Kepler-696,,5903.00,1.08,1.06,0.151,4.39,3.980
Kepler-697,,5513.00,0.88,0.92,-0.025,4.52,4.370
Kepler-698,,5612.00,0.91,0.94,0.388,4.50,4.270
Kepler-7,,5933.00,1.97,1.36,0.696,3.98,2.900
Kepler-700,,5692.00,0.96,0.98,0.230,4.47,4.370
Kepler-701,,5343.00,0.84,0.88,-0.276,4.54,4.470
Kepler-702,,5419.00,0.86,0.90,-0.159,4.53,4.470
Kepler-703,,6185.00,1.27,1.18,0.067,4.29,2.690
Kepler-704,,5616.00,0.96,0.97,0.036,4.46,5.130
Kepler-705,,3722.00,0.51,0.53,-1.385,4.75,3.890
Kepler-706,,5394.00,0.84,0.87,-0.218,4.54,4.790
Kepler-707,,5099.00,0.76,0.80,-0.501,4.58,4.900
Kepler-708,,5692.00,0.96,0.97,0.037,4.47,4.370
Kepler-709,,5071.00,0.77,0.80,-0.481,4.58,4.900
Kepler-710,,5611.00,0.91,0.94,0.265,4.50,4.170
Kepler-711,,5222.00,0.80,0.84,-0.499,4.56,4.370
Kepler-713,,5785.00,0.99,0.98,0.085,4.44,3.800
Kepler-714,,5995.00,1.12,1.09,0.460,4.37,3.550
Kepler-715,,5871.00,1.04,1.04,0.165,4.42,3.980
Kepler-717,,5485.00,0.85,0.88,0.604,4.53,4.370
Kepler-718,,6191.00,1.30,1.18,0.134,4.28,2.570
Kepler-719,,5777.00,0.98,0.99,0.448,4.45,3.980
Kepler-720,,5618.00,0.92,0.95,0.032,4.49,3.630
Kepler-721,,5075.00,0.78,0.82,-0.362,4.58,4.900
Kepler-723,,5539.00,0.89,0.92,-0.172,4.51,4.570
Kepler-724,,5437.00,0.86,0.90,-0.223,4.53,4.370
Kepler-725,,5363.00,0.84,0.88,-0.313,4.54,4.370
Kepler-726,,5452.00,0.85,0.88,-0.319,4.53,4.470
Kepler-727,,5441.00,0.86,0.89,-0.317,4.53,4.790
Kepler-728,,5660.00,0.93,0.95,0.227,4.49,4.070
Kepler-729,,5633.00,0.91,0.94,0.261,4.50,4.270
Kepler-731,,5849.00,1.06,1.03,0.035,4.41,3.800
Kepler-733,,5418.00,0.86,0.90,-0.298,4.53,4.270
Kepler-734,,5326.00,0.78,0.85,0.374,4.59,2.340
Kepler-735,,5107.00,0.80,0.85,-0.517,4.57,4.370
Kepler-736,,5217.00,0.81,0.86,-0.350,4.56,4.270
Kepler-737,,3813.00,0.48,0.51,-1.301,4.77,3.890
Kepler-738,,5327.00,0.82,0.86,-0.213,4.55,4.570
Kepler-739,,5601.00,0.90,0.93,0.018,4.51,4.270
Kepler-74,F8 V,6000.00,1.12,1.18,0.332,4.44,0.800
Kepler-740,,5438.00,0.87,0.91,-0.123,4.52,4.790
Kepler-741,,6129.00,1.24,1.16,0.332,4.31,3.160
Kepler-742,,4642.00,0.71,0.76,-0.692,4.62,2.570
Kepler-743,,5486.00,0.85,0.94,-0.176,4.55,1.860
Kepler-744,,5594.00,0.93,0.94,-0.222,4.48,5.130
Kepler-745,,5849.00,1.04,1.04,0.376,4.42,4.070
Kepler-746,,5418.00,0.93,0.91,-0.172,4.46,8.710
Kepler-747,,5096.00,0.78,0.82,-0.432,4.58,4.790
Kepler-748,,5934.00,1.10,1.07,0.360,4.38,3.720
Kepler-749,,5009.00,0.75,0.79,-0.494,4.59,4.570
Kepler-75,K0 V,5200.00,0.89,0.91,-0.215,4.50,6.200
Kepler-751,,5387.00,0.84,0.87,-0.264,4.54,4.470
Kepler-752,,5373.00,0.83,0.87,-0.125,4.54,4.070
Kepler-753,,4346.00,0.65,0.68,-0.865,4.65,3.630
Kepler-754,,5935.00,1.08,1.06,0.416,4.39,3.800
Kepler-756,,5282.00,0.79,0.82,-0.358,4.57,4.470
Kepler-757,,6014.00,1.13,1.08,0.160,4.37,3.310
Kepler-759,,5860.00,1.04,1.04,0.061,4.42,3.890
Kepler-76,F,6409.00,1.32,1.20,0.451,4.20,0.620
Kepler-761,,5706.00,0.93,0.95,-0.117,4.48,4.070
Kepler-762,,5944.00,1.08,1.06,0.318,4.40,3.800
Kepler-763,,5166.00,0.80,0.84,-0.334,4.57,4.790
Kepler-764,,5557.00,0.89,0.92,-0.136,4.51,4.170
Kepler-765,,5901.00,1.06,1.05,0.146,4.41,3.720
Kepler-766,,5992.00,1.15,1.10,0.451,4.36,3.630
Kepler-767,,5694.00,0.94,0.96,0.476,4.48,4.070
Kepler-768,,5108.00,0.78,0.82,-0.466,4.58,4.570
Kepler-77,G5 V,5520.00,0.99,0.95,-0.046,4.42,7.500
Kepler-771,,5906.00,1.05,1.03,0.355,4.42,3.720
Kepler-772,,5714.00,1.11,0.98,0.475,4.33,8.130
Kepler-773,,5850.00,1.01,1.04,0.095,4.45,2.820
Kepler-774,,6403.00,2.42,1.57,0.753,3.87,2.140
Kepler-775,,5468.00,0.84,0.92,-0.267,4.56,1.860
Kepler-776,,5071.00,0.78,0.83,-0.437,4.58,4.370
Kepler-777,,4043.00,0.56,0.58,-0.968,4.71,3.160
Kepler-778,,5102.00,0.77,0.81,-0.413,4.58,5.250
Kepler-779,,3804.00,0.44,0.46,-1.234,4.81,3.890
Kepler-78,G,5089.00,0.75,0.84,-0.498,4.60,0.625
Kepler-780,,5769.00,1.02,1.01,0.017,4.42,4.900
Kepler-781,,5162.00,0.78,0.81,-0.384,4.58,4.900
Kepler-782,,5867.00,1.01,0.98,0.110,4.42,5.250
Kepler-784,,5674.00,1.32,1.00,0.857,4.19,9.120
Kepler-785,,4739.00,0.71,0.77,-0.683,4.62,2.820
Kepler-786,,4838.00,0.74,0.81,-0.583,4.61,2.510
Kepler-787,,4248.00,0.62,0.65,-0.895,4.67,3.390
Kepler-788,,6159.00,1.23,1.16,0.336,4.32,3.020
Kepler-789,,5870.00,1.02,1.01,0.496,4.42,3.720
Kepler-790,,5208.00,0.80,0.84,-0.424,4.56,4.900
Kepler-791,,6383.00,1.47,1.30,0.403,4.21,2.240
Kepler-792,,5971.00,1.12,1.09,0.274,4.38,3.390
Kepler-793,,5745.00,0.97,0.98,0.110,4.46,4.270
